WKT,fid,id,@id,access,bridge,fixme,foot,highway,lanes,layer,motorcar,name,name:etymology,name:etymology:wikidata,service,short_name,sidewalk,smoothness,surface,Var_min,Var_max,Var_mean,geometry,start,end,surface_encoded,length
"LINESTRING (121.1137583 14.7017383,121.1137016 14.7013039)",134,way/1307300480,way/1307300480,destination,,,,service,1.0,,,,,,alley,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1137583 14.7017383, 121.1137016 14.7013039)","(121.1137583, 14.7017383)","(121.1137016, 14.7013039)",0,0.00043808475207590913
"LINESTRING (121.1144775 14.7025034,121.1145821 14.7025916)",135,way/1307304323,way/1307304323,,yes,,,path,1.0,1.0,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1144775 14.7025034, 121.1145821 14.7025916)","(121.1144775, 14.7025034)","(121.1145821, 14.7025916)",0,0.0001368225127679063
"LINESTRING (121.1141852 14.7023815,121.1143152 14.7024204,121.1144775 14.7025034)",136,way/1307304324,way/1307304324,,,,,path,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1141852 14.7023815, 121.1143152 14.7024204, 121.1144775 14.7025034)","(121.1141852, 14.7023815)","(121.1144775, 14.7025034)",0,0.0003179870552620116
"LINESTRING (121.1145821 14.7025916,121.1146116 14.7025942,121.1146881 14.7025501)",137,way/1307304325,way/1307304325,,,,,path,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1145821 14.7025916, 121.1146116 14.7025942, 121.1146881 14.7025501)","(121.1145821, 14.7025916)","(121.1146881, 14.7025501)",0,0.00011791531723903344
"LINESTRING (121.1140712 14.7029873,121.114222 14.7030087)",138,way/1307304326,way/1307304326,,yes,,,path,1.0,1.0,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1140712 14.7029873, 121.114222 14.7030087)","(121.1140712, 14.7029873)","(121.114222, 14.7030087)",0,0.00015231086632285634
"LINESTRING (121.1139076 14.7031488,121.1139639 14.7031053,121.114047 14.7029918,121.1140712 14.7029873)",139,way/1307304327,way/1307304327,,,,,path,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1139076 14.7031488, 121.1139639 14.7031053, 121.114047 14.7029918, 121.1140712 14.7029873)","(121.1139076, 14.7031488)","(121.1140712, 14.7029873)",0,0.00023643147345631655
"LINESTRING (121.1130021 14.7034714,121.1130949 14.7034503,121.1132692 14.7034043,121.1133698 14.7033712,121.1134831 14.7033271,121.1137206 14.7032255,121.1139076 14.7031488)",140,way/1307304328,way/1307304328,destination,,,,residential,1.0,,,San Isidro Labrador Street,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1130021 14.7034714, 121.1130949 14.7034503, 121.1132692 14.7034043, 121.1133698 14.7033712, 121.1134831 14.7033271, 121.1137206 14.7032255, 121.1139076 14.7031488)","(121.1130021, 14.7034714)","(121.1139076, 14.7031488)",0,0.0009633595613752189
"LINESTRING (121.1135705 14.7017612,121.1135664 14.7017352)",141,way/1307304329,way/1307304329,,,,,residential,1.0,,,,,,,,,intermediate,unpaved,3.0,3.0,3.0,"LINESTRING (121.1135705 14.7017612, 121.1135664 14.7017352)","(121.1135705, 14.7017612)","(121.1135664, 14.7017352)",1,2.6321284162997706e-05
"LINESTRING (121.1135705 14.7017612,121.1137118 14.701744)",142,way/1307304330,way/1307304330,,,,,residential,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1135705 14.7017612, 121.1137118 14.701744)","(121.1135705, 14.7017612)","(121.1137118, 14.701744)",0,0.00014234300124278963
"LINESTRING (121.1127906 14.7026449,121.112757 14.7026523)",143,way/1307304331,way/1307304331,,,,,residential,1.0,,no,,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1127906 14.7026449, 121.112757 14.7026523)","(121.1127906, 14.7026449)","(121.112757, 14.7026523)",0,3.440523215537233e-05
"LINESTRING (121.1127475 14.7024404,121.1127028 14.7024517)",144,way/1307304332,way/1307304332,,,,,residential,1.0,,,,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1127475 14.7024404, 121.1127028 14.7024517)","(121.1127475, 14.7024404)","(121.1127028, 14.7024517)",0,4.610618180137865e-05
"LINESTRING (121.1138111 14.70224,121.1136736 14.7021635,121.1135851 14.7019063)",145,way/1307304333,way/1307304333,destination,,,,residential,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1138111 14.70224, 121.1136736 14.7021635, 121.1135851 14.7019063)","(121.1138111, 14.70224)","(121.1135851, 14.7019063)",0,0.0004293485051296293
"LINESTRING (121.1143706 14.7016194,121.1143323 14.7012269)",146,way/1307304334,way/1307304334,destination,,,,residential,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1143706 14.7016194, 121.1143323 14.7012269)","(121.1143706, 14.7016194)","(121.1143323, 14.7012269)",0,0.00039436422251540944
"LINESTRING (121.1103615 14.699197,121.1103348 14.6991787,121.1101266 14.6990441,121.1101175 14.69903)",147,way/1308003781,way/1308003781,private,,,,residential,1.0,,no,,,,,,,intermediate,unknown,1.0,2.0,1.5,"LINESTRING (121.1103615 14.699197, 121.1103348 14.6991787, 121.1101266 14.6990441, 121.1101175 14.69903)","(121.1103615, 14.699197)","(121.1101175, 14.69903)",0,0.00029707111592753145
"LINESTRING (121.1103333 14.6985183,121.1103644 14.6984626)",148,way/1308003782,way/1308003782,,,,,residential,1.0,,no,,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1103333 14.6985183, 121.1103644 14.6984626)","(121.1103333, 14.6985183)","(121.1103644, 14.6984626)",0,6.379420036454453e-05
"LINESTRING (121.1112299 14.6993655,121.1112048 14.6993769)",149,way/1308008785,way/1308008785,,,,,residential,1.0,,,,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1112299 14.6993655, 121.1112048 14.6993769)","(121.1112299, 14.6993655)","(121.1112048, 14.6993769)",0,2.756755339344074e-05
"LINESTRING (121.1105824 14.6980491,121.1106262 14.6980928)",150,way/1308014517,way/1308014517,,,,,residential,1.0,,,Humanity Village Road,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1105824 14.6980491, 121.1106262 14.6980928)","(121.1105824, 14.6980491)","(121.1106262, 14.6980928)",0,6.187188375945423e-05
"LINESTRING (121.1112599 14.6974539,121.1112862 14.6974801,121.1114274 14.6976207,121.1115834 14.697776,121.1116567 14.6978489)",151,way/1308014518,way/1308014518,destination,,,,residential,1.0,,,Saturn Street,,,,,,intermediate,unknown,1.0,1.0,1.0,"LINESTRING (121.1112599 14.6974539, 121.1112862 14.6974801, 121.1114274 14.6976207, 121.1115834 14.697776, 121.1116567 14.6978489)","(121.1112599, 14.6974539)","(121.1116567, 14.6978489)",0,0.0005598886117883177
"LINESTRING (121.1114274 14.6976207,121.1108315 14.6981809)",152,way/1308014519,way/1308014519,destination,,,,service,1.0,,no,,,,alley,,,intermediate,unknown,1.0,1.0,1.0,"LINESTRING (121.1114274 14.6976207, 121.1108315 14.6981809)","(121.1114274, 14.6976207)","(121.1108315, 14.6981809)",0,0.0008178758157524886
"LINESTRING (121.1108315 14.6981809,121.1107714 14.6982373)",153,way/1308014520,way/1308014520,destination,,,,steps,1.0,,,,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1108315 14.6981809, 121.1107714 14.6982373)","(121.1108315, 14.6981809)","(121.1107714, 14.6982373)",0,8.241947585295026e-05
"LINESTRING (121.1107714 14.6982373,121.1106221 14.6983778)",154,way/1308014521,way/1308014521,destination,,,,service,1.0,,no,,,,alley,,,intermediate,unknown,,,1.0,"LINESTRING (121.1107714 14.6982373, 121.1106221 14.6983778)","(121.1107714, 14.6982373)","(121.1106221, 14.6983778)",0,0.00020501399952398212
"LINESTRING (121.1121279 14.7016433,121.1122074 14.7015601)",155,way/1308022679,way/1308022679,,,name,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,2.0,2.0,"LINESTRING (121.1121279 14.7016433, 121.1122074 14.7015601)","(121.1121279, 14.7016433)","(121.1122074, 14.7015601)",0,0.00011507601835231218
"LINESTRING (121.1117729 14.7000988,121.1117349 14.7001651)",156,way/1308024165,way/1308024165,,,name,,residential,1.0,,,,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1117729 14.7000988, 121.1117349 14.7001651)","(121.1117729, 14.7000988)","(121.1117349, 14.7001651)",0,7.641786440556957e-05
"LINESTRING (121.1120845 14.7014245,121.112178 14.7015045)",157,way/1308024166,way/1308024166,,,name,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,2.0,2.0,"LINESTRING (121.1120845 14.7014245, 121.112178 14.7015045)","(121.1120845, 14.7014245)","(121.112178, 14.7015045)",0,0.00012305385000525602
"LINESTRING (121.1120234 14.7010371,121.1120505 14.7009918)",158,way/1308024167,way/1308024167,,,name,,service,1.0,,no,,,,alley,,,intermediate,unknown,,,1.0,"LINESTRING (121.1120234 14.7010371, 121.1120505 14.7009918)","(121.1120234, 14.7010371)","(121.1120505, 14.7009918)",0,5.278730907933251e-05
"LINESTRING (121.1119383 14.7007581,121.1119716 14.7007047)",159,way/1308024168,way/1308024168,,,,,service,1.0,,no,Block 3-4,,,alley,,,intermediate,unknown,,,1.0,"LINESTRING (121.1119383 14.7007581, 121.1119716 14.7007047)","(121.1119383, 14.7007581)","(121.1119716, 14.7007047)",0,6.293210627292952e-05
"LINESTRING (121.1118549 14.7004531,121.111886 14.700402)",160,way/1308024169,way/1308024169,,,name,,service,1.0,,no,,,,alley,,,intermediate,unknown,,,1.0,"LINESTRING (121.1118549 14.7004531, 121.111886 14.700402)","(121.1118549, 14.7004531)","(121.111886, 14.700402)",0,5.9819896356455014e-05
"LINESTRING (121.11216 14.7004891,121.1119268 14.7005461)",161,way/1308024170,way/1308024170,,,,,path,1.0,,,,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.11216 14.7004891, 121.1119268 14.7005461)","(121.11216, 14.7004891)","(121.1119268, 14.7005461)",0,0.0002400650745078599
"LINESTRING (121.1112048 14.6993769,121.1111489 14.6994063,121.1111214 14.6994349)",162,way/1308025028,way/1308025028,,,,,service,1.0,,,,,,driveway,,,intermediate,unknown,,,1.0,"LINESTRING (121.1112048 14.6993769, 121.1111489 14.6994063, 121.1111214 14.6994349)","(121.1112048, 14.6993769)","(121.1111214, 14.6994349)",0,0.00010283619185126198
"LINESTRING (121.1113887 14.6997001,121.111341 14.6997305)",163,way/1308025029,way/1308025029,,,,,pedestrian,1.0,,no,,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1113887 14.6997001, 121.111341 14.6997305)","(121.1113887, 14.6997001)","(121.111341, 14.6997305)",0,5.6563680935584645e-05
"LINESTRING (121.1109892 14.6989297,121.1109575 14.6989469)",164,way/1308026590,way/1308026590,,,,,residential,1.0,,no,,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1109892 14.6989297, 121.1109575 14.6989469)","(121.1109892, 14.6989297)","(121.1109575, 14.6989469)",0,3.606563461884548e-05
"LINESTRING (121.1110517 14.6992403,121.111108 14.6992116)",165,way/1308026591,way/1308026591,,,,,residential,1.0,,,,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1110517 14.6992403, 121.111108 14.6992116)","(121.1110517, 14.6992403)","(121.111108, 14.6992116)",0,6.319319583354253e-05
"LINESTRING (121.1108563 14.6987904,121.1108011 14.6988349)",166,way/1308026592,way/1308026592,,,,,residential,1.0,,,Housing Street,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1108563 14.6987904, 121.1108011 14.6988349)","(121.1108563, 14.6987904)","(121.1108011, 14.6988349)",0,7.090338496156823e-05
"LINESTRING (121.1133377 14.7024979,121.1132082 14.7025342,121.1127906 14.7026449)",167,way/1308324995,way/1308324995,destination,,,,residential,1.0,,no,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1133377 14.7024979, 121.1132082 14.7025342, 121.1127906 14.7026449)","(121.1133377, 14.7024979)","(121.1127906, 14.7026449)",0,0.0005665148492350481
"LINESTRING (121.1146297 14.7013852,121.1146399 14.7011981)",168,way/1308324996,way/1308324996,destination,,,,residential,1.0,,no,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1146297 14.7013852, 121.1146399 14.7011981)","(121.1146297, 14.7013852)","(121.1146399, 14.7011981)",0,0.0001873778268651134
"LINESTRING (121.1122352 14.7015733,121.1122008 14.7016531)",169,way/1309904252,way/1309904252,,,,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,2.0,2.0,"LINESTRING (121.1122352 14.7015733, 121.1122008 14.7016531)","(121.1122352, 14.7015733)","(121.1122008, 14.7016531)",0,8.68987917078026e-05
"LINESTRING (121.1122008 14.7016531,121.1122347 14.701698,121.1122721 14.7017955)",170,way/1309904253,way/1309904253,private,,,,residential,1.0,,no,,,,,,,intermediate,unknown,1.0,2.0,1.5,"LINESTRING (121.1122008 14.7016531, 121.1122347 14.701698, 121.1122721 14.7017955)","(121.1122008, 14.7016531)","(121.1122721, 14.7017955)",0,0.00016068734383076848
